Absorbance: 0.21	
729.881	1.32	
730.283	1.31	
730.684	1.31	
731.085	1.3	
731.487	1.31	
731.888	1.3	
732.289	1.3	
732.69	1.3	
733.091	1.32	
733.492	1.3	
733.893	1.32	
734.294	1.29	
734.694	1.32	
735.095	1.31	
735.496	1.32	
735.896	1.32	
736.297	1.31	
736.697	1.31	
737.098	1.31	
737.498	1.31	
737.899	1.31	
738.299	1.32	
738.699	1.33	
739.099	1.3	
739.5	1.33	
739.9	1.33	
740.3	1.32	
740.7	1.32	
741.1	1.31	
741.5	1.3	
741.899	1.31	
742.299	1.31	
742.699	1.3	
743.099	1.32	
743.498	1.32	
743.898	1.31	
744.297	1.29	
744.697	1.3	
745.096	1.31	
745.495	1.3	
745.895	1.32	
746.294	1.31	
746.693	1.31	
747.092	1.31	
747.491	1.3	
747.89	1.28	
748.289	1.29	
748.688	1.29	
749.087	1.29	
749.486	1.3	
749.885	1.29	
750.284	1.29	
750.682	1.3	
751.081	1.31	
751.479	1.32	
751.878	1.29	
752.276	1.29	
752.675	1.32	
753.073	1.3	
753.471	1.29	
753.87	1.3	
754.268	1.31	
754.666	1.31	
755.064	1.3	
755.462	1.32	
755.86	1.3	
756.258	1.31	
756.656	1.3	
757.054	1.32	
757.452	1.31	
757.849	1.34	
758.247	1.31	
758.645	1.32	
759.042	1.33	
759.44	1.32	
759.837	1.32	
760.234	1.31	
760.632	1.33	
761.029	1.33	
761.426	1.32	
761.823	1.31	
762.221	1.31	
762.618	1.28	
763.015	1.3	
763.412	1.31	
763.809	1.29	
764.205	1.3	
764.602	1.3	
764.999	1.29	
765.396	1.28	
765.792	1.3	
766.189	1.29	
766.586	1.28	
766.982	1.27	
767.378	1.28	
767.775	1.26	
768.171	1.29	
768.567	1.29	
768.964	1.28	
769.36	1.28	
769.756	1.26	
770.152	1.26	
770.548	1.26	
770.944	1.26	
771.34	1.26	
771.736	1.27	
772.132	1.25	
772.527	1.26	
772.923	1.23	
773.319	1.24	
773.714	1.24	
774.11	1.25	
774.505	1.24	
774.901	1.24	
775.296	1.25	
775.691	1.24	
776.087	1.23	
776.482	1.23	
776.877	1.22	
777.272	1.24	
777.667	1.23	
778.062	1.24	
778.457	1.22	
778.852	1.24	
779.247	1.23	
779.642	1.21	
780.037	1.21	
780.431	1.2	
780.826	1.22	
781.22	1.21	
781.615	1.22	
782.009	1.21	
782.404	1.2	
782.798	1.2	
783.193	1.19	
783.587	1.21	
783.981	1.19	
784.375	1.2	
784.769	1.21	
785.163	1.19	
785.557	1.2	
785.951	1.2	
786.345	1.21	
786.739	1.19	
787.133	1.2	
787.527	1.2	
787.92	1.18	
788.314	1.19	
788.707	1.19	
789.101	1.17	
789.494	1.19	
789.888	1.18	
790.281	1.17	
790.674	1.19	
791.068	1.17	
791.461	1.19	
791.854	1.17	
792.247	1.19	
792.64	1.17	
793.033	1.16	
793.426	1.19	
793.819	1.18	
794.212	1.17	
794.605	1.16	
794.997	1.18	
795.39	1.17	
795.782	1.17	
796.175	1.17	
796.568	1.16	
796.96	1.16	
797.352	1.16	
797.745	1.16	
798.137	1.15	
798.529	1.16	
798.921	1.15	
799.314	1.18	
799.706	1.16	
800.098	1.16	
800.49	1.15	
800.882	1.15	
801.273	1.16	
801.665	1.14	
802.057	1.14	
802.449	1.15	
802.84	1.15	
803.232	1.15	
803.623	1.14	
804.015	1.15	
804.406	1.18	
804.798	1.14	
805.189	1.13	
805.58	1.14	
805.972	1.13	
806.363	1.13	
806.754	1.13	
807.145	1.12	
807.536	1.13	
807.927	1.15	
808.318	1.15	
808.709	1.13	
809.099	1.15	
809.49	1.14	
809.881	1.15	
810.271	1.15	
810.662	1.12	
811.053	1.13	
811.443	1.13	
811.833	1.14	
812.224	1.13	
812.614	1.13	
813.004	1.13	
813.395	1.15	
813.785	1.11	
814.175	1.14	
814.565	1.12	
814.955	1.13	
815.345	1.11	
815.735	1.12	
816.124	1.12	
816.514	1.13	
816.904	1.12	
817.294	1.12	
817.683	1.11	
818.073	1.1	
818.462	1.12	
818.852	1.1	
819.241	1.11	
819.63	1.12	
820.02	1.12	
820.409	1.12	
820.798	1.11	
821.187	1.09	
821.576	1.1	
821.965	1.12	
822.354	1.11	
822.743	1.1	
823.132	1.1	
823.521	1.1	
823.91	1.12	
824.298	1.1	
824.687	1.1	
825.076	1.09	
825.464	1.08	
825.853	1.09	
826.241	1.1	
826.629	1.09	
827.018	1.07	
827.406	1.09	
827.794	1.08	
828.182	1.09	
828.571	1.09	
